timestamp,cpu_usage_percent
1769236261.5057504,2.09
1769236262.5320108,0.99
1769236263.5497735,0.99
1769236264.5663838,0.99
1769236265.568687,6.02
1769236266.5704217,11.14
1769236267.5877252,16.75
1769236268.5997145,0.5
1769236269.6048617,1.25
1769236270.6062524,10.8
1769236271.6074817,18.68
1769236272.6218195,2.99
1769236273.636586,17.45
1769236274.6429641,2.01
1769236275.6604536,2.03
1769236276.6921442,4.16
1769236277.6942136,0.75
1769236278.7176247,0.98
1769236279.7339585,0.74
1769236280.7818682,0.96
